image_id,dimension,modality,within_mean,cross_mean,n_matched_pairs
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,personality,caption,0.892391809761595,0.8683710782441049,24
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,personality,justification,0.658281871472641,0.5956683131525556,24
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,personality,perception,0.47045306088705324,0.4098987609329446,24
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,gender,caption,0.8451707117138603,0.8381467474408986,12
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,gender,justification,0.5824880287810833,0.5703831102585899,12
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,gender,perception,0.36751003536335175,0.3589541723356009,12
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,economic_status,caption,0.8451707117138603,0.8040423808176014,12
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,economic_status,justification,0.5824880287810833,0.4175106652257276,12
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,economic_status,perception,0.36751003536335175,0.24977891480401684,12
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,political_spectrum,caption,0.8451707117138603,0.8359073003075678,12
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,political_spectrum,justification,0.5824880287810832,0.5166378044973859,12
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,political_spectrum,perception,0.36751003536335175,0.32467736961451243,12
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,personality,caption,0.8451707117138603,0.8362747102170994,24
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,personality,justification,0.5824880287810833,0.5496955303500848,24
1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,personality,perception,0.36751003536335164,0.3578660430839002,24
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,gender,caption,0.8736012121249471,0.8695082655327803,12
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,gender,justification,0.6166704096709258,0.6115537449713949,12
